function.	variable	value	rel_abun	land_percent_CobVeg	landscape	frag_unique_ID	fragment	Final_Bd_Load_log	Presence_Bd	Campanha	Data	Julian_date	species	Developmental_Mode	Season	Latitude	Longitude	GPS_UTM	Den_Dre	frag_percent_Dre	Tipo_drenagem	Ndrena	frag_Denborda	DenFrag	DenAPP	TamFrag_m2	frag_Split_pond	frag_Split_Stream_2nd	percent_APP	percent_Frgmentos	land_DenBorda	DenFrag_2	DenAPP_2	N_Frag	land_Den_Dre_2	land_percent_Dre	percent_m_agua	percent_Dren_APP	Den_Dre_APP	land_ENND_Frag	ENND_APP	family	Landsc_ID	type	species_infection	type_season	reads_contam_removed	reads_contam_removed_005keep	rarefy_keep	observed_otus	faith_pd	pielou_e	shannon	unweighted_pc1_all	unweighted_pc2_all	weighted_pc1_all	weighted_pc2_all	bc_disper	jaccard_disper	Load_SQR	Julian_Date	Tam_Frag_Log	Residual_Final_Bd_Load_log	AntiFungal_Richness	TotalAntiFungal	Propor_TotalAntiFungal	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full	Type
K02835 	RM001	0	0	18.68	SLP	A	F1	0	0	1	9/21/2018	18264	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	32955	22893	1	97	12.5159471	0.893812258	5.899083002	0.103907735	-0.135341083	-0.087173626	0.193070849	0.663163123	0.657989857	0	1	5.390870894	NA	38	906	0.453	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM043	0	0	18.68	SLP	E	F5	1.37827456	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	20361	19172	1	170	15.85059131	0.34976152	2.591519837	-0.005614567	0.057679872	0.102039152	-0.221116315	0.587503259	0.584361796	4.784685285	6	5.164186245	-0.458431932	84	1591	0.7955	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM004	0	0	18.68	SLP	A	F1	0	0	1	9/21/2018	18264	Ischnocnema henselli	TD	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	96171	93292	1	81	8.929548878	0.310464566	1.968298781	0.19623254	0.119302058	0.381198407	-0.323580514	0.616517662	0.653499632	0	1	5.390870894	NA	49	1232	0.616	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM044	0	0	18.68	SLP	E	F5	1.483460126	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	13057	9795	1	363	26.96784952	0.851839436	7.243894123	-0.240268207	-0.069148993	-0.023632637	0.143599629	0.538103355	0.545775035	5.425963957	6	5.164186245	-0.353246366	145	1292	0.646	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM005	0	0	18.68	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	12729	9205	1	135	13.57587285	0.592644802	4.19403798	0.13976598	-0.251848182	-0.090902739	0.000608	0.66200665	0.643173934	0	2	5.390870894	NA	50	610	0.305	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM045	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Boana faber	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	8918	6048	1	221	19.10710363	0.702045297	5.467460366	-0.076776092	-0.172021748	-0.087407204	0.129033308	0.639429637	0.597181221	0	7	5.175813222	NA	82	1257	0.6285	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM006	0	0	18.68	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	3549	2703	1	226	19.42443108	0.660976826	5.168957068	-0.069940021	-0.27482603	-0.103433226	0.050594765	0.594453738	0.616257154	0	2	5.390870894	NA	64	1337	0.6685	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM047	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Boana faber	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	13427	8342	1	156	16.67692753	0.628587346	4.579511645	-0.014381902	-0.24858159	-0.103611764	0.185330307	0.717129411	0.644539675	0	7	5.175813222	NA	46	260	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM007	0	0	18.68	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	7248	5901	1	185	16.86111603	0.69791342	5.256252193	-0.023823795	-0.151797534	-0.109080519	0.082889881	0.575494728	0.610606757	0	2	5.390870894	NA	75	1341	0.6705	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM049	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Ischnocnema henselli	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	43281	42819	1	59	8.349888781	0.204894593	1.205321751	0.195933889	0.030744158	0.166765923	-0.297213011	0.640306261	0.674542202	0	7	5.175813222	NA	33	1564	0.782	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM008	0	0	18.68	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	2686	2344	1	113	11.04396483	0.386425048	2.63548798	0.181709092	-0.162573454	-0.122326384	-0.063475257	0.673360771	0.649739014	0	2	5.390870894	NA	47	1725	0.8625	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM050	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Ischnocnema henselli	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	20071	17436	1	209	19.86403868	0.548465575	4.227221162	-0.173028545	0.020211776	0.202189112	-0.106621265	0.565307309	0.579221654	0	7	5.175813222	NA	90	1326	0.663	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM009	0	0	18.68	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	4147	2241	1	143	13.46333052	0.872401689	6.246283849	0.119615911	-0.285197739	-0.087987161	0.28284582	0.684188456	0.669976668	0	2	5.390870894	NA	48	840	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM051	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Ischnocnema henselli	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	3604	2699	1	217	18.86269711	0.8260927	6.411760817	-0.090250935	-0.011266755	0.195754721	0.084867188	0.600457453	0.585269465	0	7	5.175813222	NA	95	1224	0.612	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM010	0	0	18.68	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	11516	7446	1	187	16.85810543	0.796398467	6.010335175	0.002230788	-0.171677794	-0.063795111	0.143291806	0.58731167	0.599217372	0	2	5.390870894	NA	88	1196	0.598	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM052	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Ischnocnema henselli	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	34431	31195	1	176	16.93549193	0.351707545	2.623538381	-0.086940355	-0.020311897	0.742403721	-0.179386674	0.670530522	0.600387443	0	7	5.175813222	NA	85	423	0.2115	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM011	0	0	18.68	SLP	B	F2	0	0	1	9/23/2018	18266	Boana faber	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	20958	20120	1	122	12.48316525	0.281548595	1.951339358	0.066679011	-0.006452404	-0.139685182	-0.212366808	0.591783501	0.635232138	0	3	5.175813222	NA	57	1919	0.9595	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM053	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Ischnocnema henselli	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	12998	11775	1	178	17.33384626	0.449405314	3.359634328	-0.045954046	0.040299949	0.373645095	-0.223635454	0.595282527	0.591756313	0	7	5.175813222	NA	87	1218	0.609	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM012	0	0	18.68	SLP	B	F2	0	0	1	9/23/2018	18266	Boana faber	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	9417	6977	1	238	20.43113193	0.570399757	4.503202135	-0.169377926	-0.203363464	-0.100388692	0.065066844	0.651232222	0.598034942	0	3	5.175813222	NA	71	1546	0.773	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM054	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	12966	8716	1	281	24.66046339	0.78280473	6.3676674	-0.230304698	-0.011149899	0.018196812	0.269885448	0.624462372	0.571238868	0	7	5.175813222	NA	102	852	0.426	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM013	0	0	18.68	SLP	B	F2	0	0	1	9/23/2018	18266	Rhinella ornata	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Bufonidae	1	fragmented	Rhinella ornata0	fragmentedSECA	13170	10232	1	247	18.41972251	0.848287585	6.742501245	-0.042070733	0.00935505	0.105549847	0.271399296	0.627523536	0.590887047	0	3	5.175813222	NA	130	1502	0.751	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM055	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	13600	8495	1	326	27.42863993	0.837425284	6.991436044	-0.264319469	-0.053639175	-0.011533102	0.171089972	0.575000384	0.558036735	0	7	5.175813222	NA	108	1190	0.595	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM014	0	0	18.68	SLP	B	F2	0	0	1	9/23/2018	18266	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	12089	6530	1	321	26.34515918	0.838061611	6.978060913	-0.220167583	-0.024115819	0.000689	0.173052466	0.625869454	0.578473273	0	3	5.175813222	NA	103	721	0.3605	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM056	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	5705	3218	1	335	26.90346448	0.880807739	7.388230537	-0.251017227	-0.069380763	-0.060930732	0.138486496	0.59036742	0.567051879	0	7	5.175813222	NA	109	1122	0.561	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM015	0	0	18.68	SLP	B	F2	0	0	1	9/23/2018	18266	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	11972	6377	1	377	30.40951128	0.895097785	7.660623428	-0.261447036	-0.125506948	-0.014929839	0.213209412	0.604288165	0.568358639	0	3	5.175813222	NA	115	853	0.4265	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM057	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	13279	9814	1	305	25.41851659	0.746825823	6.163303652	-0.220794324	-0.016527958	0.101706724	0.092948069	0.617082634	0.571052256	0	7	5.175813222	NA	103	1459	0.7295	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM017	0	0	18.68	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	13145	11632	1	88	11.01815443	0.443513272	2.864843655	0.205082466	-0.099126535	-0.049952225	-0.151879778	0.594516928	0.664267531	0	4	4.961280436	NA	48	1915	0.9575	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM058	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	8393	5385	1	331	27.59449146	0.842271264	7.050389464	-0.239444639	-0.079560448	-0.102272332	0.225314918	0.612191835	0.566209909	0	7	5.175813222	NA	109	927	0.4635	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM018	0	0	18.68	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	5937	5867	1	23	4.864220047	0.078888151	0.356855438	0.375578459	0.013232167	-0.170298992	-0.267527516	0.653010612	0.7371838	0	4	4.961280436	NA	13	1971	0.9855	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM059	0	0	18.68	SLP	B	F2	0	0	1	9/27/2018	18270	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	8392	5147	1	349	27.52178639	0.851129725	7.189563627	-0.257350334	-0.090065114	-0.066686756	0.197036563	0.59524415	0.564433051	0	7	5.175813222	NA	108	1127	0.5635	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM019	0	0	18.68	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	10023	9485	1	79	8.612468174	0.180533039	1.138040698	0.253372615	-0.110019269	-0.155756381	-0.228930493	0.623166135	0.664002982	0	4	4.961280436	NA	37	1911	0.9555	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM060	0	0	18.68	SLP	D	F4	0	0	1	 27/09/2018	18270	Ischnocnema henselli	TD	SECA	-23215891	-45276012	23K 471759 7432554	57.1461	43.1596	Npermanente	8	392.7569	187.7072	205.0497	5960940	582.435	0	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	22350	18727	1	73	10.89291497	0.60828255	3.765162269	0.15517406	0.075716764	0.224126165	-0.127499489	0.749275221	0.692908213	0	7	6.77531475	NA	29	100	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM020	0	0	18.68	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	9988	4738	1	182	18.42792436	0.743292841	5.580490005	-0.014821438	-0.228654429	-0.081671017	0.040603993	0.603761549	0.637528934	0	4	4.961280436	NA	66	1359	0.6795	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM061	0	0	18.68	SLP	D	F4	0	0	1	 27/09/2018	18270	Ischnocnema henselli	TD	SECA	-23215891	-45276012	23K 471759 7432554	57.1461	43.1596	Npermanente	8	392.7569	187.7072	205.0497	5960940	582.435	0	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	4115	3261	1	289	24.78548435	0.726644566	5.940265324	-0.232154888	0.034049938	0.025388467	0.047297272	0.518056658	0.561871391	0	7	6.77531475	NA	101	1412	0.706	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM022	0	0	18.68	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	14308	7864	1	240	20.41295801	0.841397165	6.652835332	-0.092327886	-0.269695986	-0.108884028	0.235181995	0.660868741	0.61959264	0	4	4.961280436	NA	60	723	0.3615	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM062	0	0	18.68	SLP	D	F4	0	0	1	 27/09/2018	18270	Ischnocnema henselli	TD	SECA	-23215891	-45276012	23K 471759 7432554	57.1461	43.1596	Npermanente	8	392.7569	187.7072	205.0497	5960940	582.435	0	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	31564	30309	1	120	12.90100822	0.264863281	1.829381703	0.029796893	0.031883164	0.211910612	-0.266750308	0.619996814	0.614520035	0	7	6.77531475	NA	57	1458	0.729	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM023	0	0	18.68	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	8408	4819	1	285	22.66861985	0.848275229	6.917530197	-0.152617215	-0.197655412	-0.038365971	0.162984562	0.588317638	0.596274001	0	4	4.961280436	NA	81	903	0.4515	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM063	0	0	18.68	SLP	D	F4	0	0	1	 09/27/2018	18270	Boana faber	AL	SECA	-23215891	-45276012	23K 471759 7432554	57.1461	43.1596	Npermanente	8	392.7569	187.7072	205.0497	5960940	582.435	0	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	11620	10933	1	99	12.62649577	0.204753753	1.357385649	0.09042162	-0.126196463	-0.154106963	-0.223923784	0.624843043	0.665453343	0	7	6.77531475	NA	38	1862	0.931	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
K02835 	RM024	0	0	18.68	SLP	D	F4	0	0	1	9/25/2018	18268	Rhinella ornata	AL	SECA	-23215891	-45276012	23K 471759 7432554	57.1461	43.1596	Npermanente	8	392.7569	187.7072	205.0497	5960940	582.435	0	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Bufonidae	1	fragmented	Rhinella ornata0	fragmentedSECA	17781	13529	1	213	18.08595403	0.632036555	4.888619223	-0.088174645	0.0436781	0.103356807	0.007220395	0.648163246	0.590011608	0	5	6.77531475	NA	98	1442	0.721	NA	NA	NA	NA	NA	NA	NA	NA	NA	Toxins
