SampleID	landscape	frag_unique_ID	fragment	Final_Bd_Load_log	Presence_Bd	Campanha	Data	Julian_date	species	Developmental_Mode	Season	Latitude	Longitude	GPS_UTM	Den_Dre	frag_percent_Dre	Tipo_drenagem	Ndrena	frag_Denborda	DenFrag	DenAPP	TamFrag_m2	frag_Split_pond	frag_Split_Stream_2nd	land_percent_CobVeg	percent_APP	percent_Frgmentos	land_DenBorda	DenFrag_2	DenAPP_2	N_Frag	land_Den_Dre_2	land_percent_Dre	percent_m_agua	percent_Dren_APP	Den_Dre_APP	land_ENND_Frag	ENND_APP	family	Landsc_ID	type	species_infection	type_season	reads_contam_removed	reads_contam_removed_005keep	rarefy_keep	observed_otus	faith_pd	pielou_e	shannon	unweighted_pc1_all	unweighted_pc2_all	weighted_pc1_all	weighted_pc2_all	bc_disper	jaccard_disper	Load_SQR	Julian_Date	Tam_Frag_Log	Residual_Final_Bd_Load_log	AntiFungal_Richness	TotalAntiFungal	Propor_TotalAntiFungal
RM001	SLP	A	F1	0	0	1	9/21/2018	18264	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	32955	22893	1	97	12.5159471	0.893812258	5.899083002	0.103907735	-0.135341083	-0.087173626	0.193070849	0.663163123	0.657989857	0	1	5.390870894	NA	38	906	0.453
RM004	SLP	A	F1	0	0	1	9/21/2018	18264	Ischnocnema henselli	TD	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	96171	93292	1	81	8.929548878	0.310464566	1.968298781	0.19623254	0.119302058	0.381198407	-0.323580514	0.616517662	0.653499632	0	1	5.390870894	NA	49	1232	0.616
RM005	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	12729	9205	1	135	13.57587285	0.592644802	4.19403798	0.13976598	-0.251848182	-0.090902739	6.08E-04	0.66200665	0.643173934	0	2	5.390870894	NA	50	610	0.305
RM006	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	3549	2703	1	226	19.42443108	0.660976826	5.168957068	-0.069940021	-0.27482603	-0.103433226	0.050594765	0.594453738	0.616257154	0	2	5.390870894	NA	64	1337	0.6685
RM007	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	7248	5901	1	185	16.86111603	0.69791342	5.256252193	-0.023823795	-0.151797534	-0.109080519	0.082889881	0.575494728	0.610606757	0	2	5.390870894	NA	75	1341	0.6705
RM008	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	2686	2344	1	113	11.04396483	0.386425048	2.63548798	0.181709092	-0.162573454	-0.122326384	-0.063475257	0.673360771	0.649739014	0	2	5.390870894	NA	47	1725	0.8625
RM009	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	4147	2241	1	143	13.46333052	0.872401689	6.246283849	0.119615911	-0.285197739	-0.087987161	0.28284582	0.684188456	0.669976668	0	2	5.390870894	NA	48	840	0.42
RM010	SLP	A	F1	0	0	1	9/22/2018	18265	Boana faber	AL	SECA	-23259327	-45316830	23K 467593 7427737	19.0694	23.7681	Npermanente	1	276.4601	192.5529	83.9072	245963.63	3701.3	142.435	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	11516	7446	1	187	16.85810543	0.796398467	6.010335175	0.002230788	-0.171677794	-0.063795111	0.143291806	0.58731167	0.599217372	0	2	5.390870894	NA	88	1196	0.598
RM011	SLP	B	F2	0	0	1	9/23/2018	18266	Boana faber	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	20958	20120	1	122	12.48316525	0.281548595	1.951339358	0.066679011	-0.006452404	-0.139685182	-0.212366808	0.591783501	0.635232138	0	3	5.175813222	NA	57	1919	0.9595
RM012	SLP	B	F2	0	0	1	9/23/2018	18266	Boana faber	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	9417	6977	1	238	20.43113193	0.570399757	4.503202135	-0.169377926	-0.203363464	-0.100388692	0.065066844	0.651232222	0.598034942	0	3	5.175813222	NA	71	1546	0.773
